Location,Latitude,Longitude
Near Turin Italy,51.45721485,-0.0806944
Off Kingston Jamaica,50.8553888,0.5824703
Near Atsugi Japan,9.0358287,38.7524127
Near Toba Japan,61.8212196,22.6970217
Near El Quweira Jordan,30.3321838,-81.655651
Xieng Kouang Laos,24.5548262,-81.8020722
Nyot Mo Laos,30.7743596,-85.2268735
Near Sarra Libya,49.6647765,1.9428278
Miandivazo Madagascar,44.9185137,5.1844674
Near Mexico City Mexico,49.4300997,2.0823355
Chrisinau Moldova,50.5331612,2.1523287
Zavnah Mongolia,33.2467807,-84.2640904
Near Marrakech Morocco,32.4610708,-84.9880449
Gulf of MexicoPetroleum Helicopter,31.1499528,-81.4914894
Near Hong KongMilitary - U.S. Air Force,33.9231621,-83.9162929
Over the English ChannelKLM Royal Dutch Airlines,48.963057,12.1497078
Near Irkutsk RussiaAeroflot,51.3955721,8.5677743
North SeaBritish Overseas Airways,50.7552399,10.4827041
Washington D.C.Page Airways,52.2276543,10.7060559
Territory of New GuineaNew Guinea Air Traders,51.951063950000005,13.49630131743194
Gulf of ThailandOkanagan Helicopters,47.8695272,12.6484621
Northern IraqMilitary - U.S. Army / Military U.S. Army,49.1635031,7.1228272
Over the MediterraneanMilitary - German Navy,52.510885,13.3989367
Refugio Pass near,4.887401,-1.7519316
Near Magdalena New,37.9755648,23.7348324
Off Port Moresby New,65.5518396,-37.116877032220046
La Liberiad Nicaragua,24.8630286,110.4871831
Near Sorei Niger,14.6416142,-90.5132836
Off Chongjin North,5.00208455,-59.81600357684346
near Craigavad Northern,20.7076743,-156.2575841
Off Vaeroy Norway,20.8029568,-156.31068331602177
Frederikstad Norway,14.1057433,-87.2040052
Sorta Norway	CHC,22.266918121800792,114.22063309890018
Mitchel Field NYUS,44.5204431,-116.3345874
Near Ardmore Oklahoma,24.80332005,84.41101977690866
Ship Sands Island ON,22.5726459,88.3638953
Off Contadora Panama,23.8312377,91.2823821
Near Goroka Papua,26.1805978,91.753943
Near Moyobamba Peru,41.0799898,-85.1386015
Off Lima Peru,41.5850394,-85.8344491
Near San Jose Philippines,-8.6524973,115.2191175
Near Manila Philippines,-4.7033455,103.2833167
North of San Juan Puerto,-4.0943705,138.9466574
Near Murmansk Russia,-0.3316049,111.7370026
Near Petropavlovsk Russia,-3.9284498,136.3766675
Near Baikov Russia,0.5262455,101.4515727
Near Mironovo Russia,-6.9215529,107.6110212
Near Abakan Russia,3.5631032,98.6746643222748
Near Yelizovo Russia,42.2975404,-90.6875607
Off Great Natuna Island Sarawak,35.6892523,51.3896004
Off Crimond Scotland,35.0196331,50.3652364
Near Loch Lomond Scotland,35.3011297,50.5073612
Off Dakar Senegal,33.3061701,44.3872213
Near Cheo Reo South,53.1349614,-8.1611027
Near Quang Tri South,45.9537388,13.0205074
Near Hennenman South,41.259308,13.6080209
Near Windhoek South-West,45.0677551,7.6824892
Off Castell de Fels Spain,35.4429646,139.3625125
Near Palaly AFB Sri,34.4812985,136.8434721
Adar Yeil Sudan,34.7269449,139.3945435
Near Khartoum Sudan,34.1664995,132.2191163
Near Damascus Syria,29.8,35.316667
Off Orchid Island Taiwan,39.1134562,-94.626497
Off Matsu Island Taiwan,-1.30261485,36.82884201813725
Blountville Tennesee,2.85795825,37.7154891859004
Near Pigeon Forge Tennessee,21.688273,21.829568854895903
Off Galveston Texas,51.46773895,-0.4587800741571181
Near Phuket Thailand,35.8818906,14.3988213
Near Ceyhan Turkey,20.90325624679929,-101.534899846419
Kabassaak Turkey,25.9234599,-101.31285971165198
Near Erzurum Turkey,20.9670759,-89.6237402
Near Leningrad USSRAeroflot,19.368985839306625,-99.23375680783042
Bagdarin USSRAeroflot,19.3207722,-99.1514677512441
Near Caracas Venezuela,43.5250265,-84.1227598
Near Calabozo Venezuela,33.5738331,-7.6153131
Off Margarita Island Venezuela,31.6258257,-7.9891608
Thanh Tranh Village Vietnam,10.46712195,123.41395132328029
Near Seattle Washington,52.3730796,4.8924534
Near Charleston West,40.7279826,-115.478392
Near Chaklala West,42.9956397,-71.4547891
Near Kinshasa Zaire,40.7127281,-74.0060152
Near Shindand Afghanistan,32.3140354,-106.779807
Tangi Valley Afghanistan,40.9354609,-74.6611513311839
Russian Mission Alaksa,40.735657,-74.1723667
Near Mc Grath Alaska,40.7300685,-73.2107266
Near Dillingham Alaska,40.7215682,-74.047455
Near Ketchikan Alaska,39.74925035,-74.11414261033771
Off Kaminshak Bay Alaska,34.1169903,-107.243372
Near McGrath Alaska,29.95060635,-90.07274675
Near Denali National Park Alaska,48.5452022,-58.5871146
Near Gambell Alaska,13.6423528,-84.94080421703055
Near Juneau Alaska,6.4550575,3.3941795
Near Barrow Alaska,11.9939978,8.5219738
Puertos Lobos Argentina,35.7333312,-81.3442915
Near Meadview Arizona,34.2257282,-77.9447107
Near Canberra Australia,54.659849050000005,-5.788615653741947
Coen Australila,59.9133301,10.7389701
Off Manama Bahrain,41.4996574,-81.6936772
Near Port Townsend BC,39.4453393,-83.8285375
Near Elizabethville Belgium,39.1014537,-84.5124602
Chilang Point Bias,34.1729273,-97.1309119
Sogamoso Bolivia,33.6938118,73.0651511
Near Tipuani Bolivia,-7.6572063,147.09448020926564
Near Cuiaba Brazil,-6.1159886,141.2981755
Caparao Mountain Brazil,-6.0730028,145.3932891
Sao Francisco Bay Brazil,40.046291,-75.13979841265069
Near Curitiba Brazil,39.900937,-79.725931
Near Sao Paulo Brazil,40.3693889,-80.6243098
Rio de Janerio Brazil,39.8573144,-77.6952703
Near Belem Brazil	Loide,-6.0347302,-76.9746773
Near Alliford Bay British,-33.551317,-70.67303909057628
Near Bronson Creek British Canada,-12.2383101,-75.7460249
Near Prince Rupert British,15.0519635,120.6445398
Papun Burma,7.04530235,125.75011616521611
Near Sandoway Burma,15.7917408,120.989145
Near Fairfield California,14.5904492,120.9803621
Thirty-five miles west of Los Angeles California,8.1550421,125.1305726
Near San Diego California,49.6600228,19.5579106
Near Junction City California,50.2109579,-66.3790642
Santo Antao Cape,56.0091173,92.872586
Fort Hertz China,55.0288307,82.9226887
Wangmoon China,67.654907,134.635071
Hangow China,57.153534,65.542274
San Andreas Island Colombia,68.970665,33.07497
Nevada del Huila Colombia,55.448217,50.4763591
Mt. Elena Colombia,60.372566,134.459961
Near Eagle Colorado,56.261183,28.4435346
Near Tshikapa Congo,53.72068,91.4406019
Off Antilla Cuba,53.1864972,158.3836712
Iglau Czechoslovakia,54.7814057,32.0461261
Mugogo Democratic,47.3079286,39.6433401
Kongolo Democratic,-1.8859597,30.1296751
Off Copenhagen Denmark,26.2966528,50.1202146
Near Konigs Wusterausen East,56.15619625,-4.656210521106075
Near Toacaso Ecuador,50.401515,-105.542908
Andes Mountains Ecuador,9.561733,44.061803
Off Port Said Egypt,34.49161223554424,128.75856807922554
Near Wadi Natrun Egypt,32.34721141865731,-80.69886967637362
Freckelton England,41.3076924,-72.9333905
Near Oldham England,10.7300791,106.70341771271016
Near Thorney England,51.98070517445774,4.335811703326226
Off Talinn Estonia,38.3436365,-0.4881708
Near Gambela Ethiopia,40.2241115,-1.7433762
Off Miami Florida,39.6903253,-4.4273603
Off Moorea French,39.58125245,2.7092683401782343
Near Carrollton Georgia,15.5635972,32.5349123
Tubergen Germany,4.269816776466393,-54.397018419572845
Near Kaiserslautern Germany,47.5581077,7.5878261
Off Helgoland Island Germany,47.1606885,7.212695
Near Grammatikos Greece,33.5130695,36.3095814
Off Heraklion Greece,35.7884241,-83.5543329
Sondreströmfjord Greenland,29.3872254,-94.992736
Leeward Point Airfield Guantanamo,32.4709519,-100.405938
Near Juticalpa Honduras,7.9366015,98.3529292
Off Amapala Honduras,13.914688,100.5978685
Near Wampusirpi Honduras,10.6506035,-61.51657370448787
Sagone India,38.3249599,43.6589825
Near Delhi India,37.0288825,35.8124428
Near Silchar India,39.90632,41.2727715
Near Panvel India,47.8507859,35.1182867
Near Kaimana Indonesia,10.5060934,-66.9146008
Near Jakarta Indonesia,8.9179829,-67.4173328
Near Mason City Iowa,21.0283334,105.854041
Near Tehran Iran,21.0283334,105.854041
Near Kirkuk Iraq,18.34290815,-64.91889970060265
Off Lurga Point Ireland,47.6038321,-122.330062
Off Palermo Italy,47.3756578,-121.8684444
Near Piacenza Italy,38.3505995,-81.6332812
Montnago Italy,39.6296809,-79.9559437
Near Milan Italy,38.889820150000006,-77.04024448558823
Sakiya Saugye Japan,41.139981,-104.820246
Near Alma-Ata Kazakastan,44.7880163,20.452248926658555
Near Pakse Laos,-4.3217055,15.3125974
Near Long Tieng Laos,39.562548,-74.236959
Off St. Vincent Leeward,33.254378,62.380804
Kampong Jenera Malaysia,33.5206824,-86.8024326
Near Bigstone Lake Manitoba,57.7901661,-152.4067073
Near San Luis Potosi Mexico,60.2029778,-154.3191843
Ixtaccihuati Mexico,59.0398598,-158.4604177
Cerro Lilio Mexico,62.9563889,-155.595833
Near Sanyi Miao-li,55.2071632,-162.7146533
Near Winona Minnesota,63.730206,-148.89208230031937
Near Great Falls Montana,63.7779847,-171.7279493
Near Agadir Morocco,58.3019496,-134.419734
Near El Kelaa Morocco,71.3865172,-156.4741383
Near Immouzer Morocco,24.3753438,4.3208436
Manibagi Myanmar,-9.6589303,20.3981118
Northern AfghanistanMilitary - Afghan Republican Air Force,-14.6902435,16.0305922
Pacific OceanPan American World Airways,-33.002972400000004,-60.62663415
North Pacific OceanMilitary - U.S. Navy,45.4838459,9.2147675
Off Irish coastMilitary - U.S. Air Force,-33.2762202,-65.9515546
United StatesUS Aerial Mail Service,36.0022091,-114.0682936
VietnamAutrex,36.0980405,-112.0962787
North SeaAB Aerotransport,33.0479902,-109.4410421
Hong KongMilitary - U.S. Marine Corps,33.4254259,-94.0430937
TrinidadKLM Royal Dutch Airlines,-42.8212941,147.4830623
Off western DenmarkMilitary - German Navy,-17.5241605,146.0311385
Lake Michigan near,-19.31642765,146.74486578594423
Mt. Osutaka near,-35.2975906,149.1012676
Walakpa near,40.3755885,49.8328009
Near Falls City Nebraska,39.8259355,46.749553107224
Near Ghorepani Nepal,38.72116535,-27.217637988768217
Near Kathmandu Nepal,23.7643863,90.3890144
Near Las Vegas Nevada,48.1179702,-122.769544
Near Midford Sound New,50.7344256,5.2095342
Foveaux Strait New,-17.5429363,-64.7991084
Port Underwood New,20.542580450000003,-97.4592475
Near Tucumcari New,-15.5661348,-68.0205915
Near Managua Nicaragua,-15.5986686,-56.0991301
Uli  Nigeria,-28.8836757,-50.3580098
Off IJuuiden North,-27.088141,-51.368101
Ameland Island North,-18.5994673,-50.43641859762603
Near Odda Norway,-23.433162,-45.083415
Harsiad Norway,-25.4295963,-49.2712724
Near Longyearbyen Norway,-9.9765362,-67.8220778
Lake Erie off Huron Ohio,-22.888889,-47.065556
Near Gilgit Pakistan,-12.285251,-41.9294776
Off Cristobal Panama,-23.5506507,-46.6333824
Tangok mountain Papua,-23.8857982,-46.4241869
Near Port Moresby Papua,48.4283182,-123.364953
Near Asuncion Paraguay,54.9944853,-129.9558154
Near Pucallpa Peru,53.20752735,-132.00071546548642
Near Iquitos Peru,56.64116920800744,-131.00652178637174
Cerro Puena Paz Peru,49.2350034,-124.03845859976484
Near Cuzco Peru,54.3126572,-130.32549
Off Masbate Island Philippines,42.6977028,23.3217359
Mt. Apica PQ,18.4664443,94.3668616
Near Issoudun Quebec,20.7813931,96.25340915296476
Near Sibiu Romania,35.3540209,-120.375716
Near Uricani Romania,34.1591324,-118.5016166
Near Voronezh Russia,38.2493581,-122.039966
Near Omsukchan Russia,39.122939,-121.38007965949092
Near Boda Russia,37.6025883,-122.0214108
Near Zavitinsk Russia,33.8644291,-118.0539323
Near Ayan Russia,33.894927,-118.226624
Near Kutaisa Russia,40.733199,-123.05364
Near Magnitogorsk Russia,4.0429389,9.7062018
Near Aldan Russia,43.6534817,-79.3839347
Near Toula Russia,63.5885692,-71.92275487815604
Near Rostov-on-Don Russia,43.29088485,45.77762019800586
Near Chita Russia,-22.4623917,-68.9272181
Near Kirsanov Russia,31.2312707,121.4700152
Near Leningrad  Russia,28.3803015,115.0153957
Near Volgograd Russia,22.350627,114.1849161
Near Ivanovo Russia,29.8622194,121.6203873
Near Dunbeath Scotland,3.4519988,-76.5325259
K-50 Airport Somalia,7.0673313,-73.8525627
Near Tam Ky South,5.3356662,-72.3936931
Near Da Nang South,6.0000085,-77.0000086
Near Rapid City South,39.7392364,-104.984862
Near Soc Trang South,39.6161124,-106.7172844
Near Malaga Spain,-4.3343897,15.1436611
Near Barcelona Spain,-6.63992685,20.540541321259425
Near Huete Spain,-4.4137734,18.29412146181244
Near La  Coruña Spain,41.3501598,-72.0761998
"Moron AFB Spain
	
Moron",-21.2349911,-159.77872366478397
Kadjuduwa Watta Sri,-34.9069638,-56.19625378079975
Khorag Tajikistan,-2.4982396,28.8549055
Near Memphis Tennessee,55.6867243,12.5700724
Lajes Terceira,-0.7142358,-78.7622864003921
Near Gilmer Texas,-1.31756525,-78.5766164791466
Sunat Tanon Thailand,-0.7326786000000001,-80.41990564699557
Off Ko Phuket Thailand,30.0443879,31.2357257
Off Fethiye Point Turkey,30.37518600123622,30.348158217839377
Near Kiev Ukraine,52.1363806,-0.4675041
Near Donetsk Ukraine,53.4794892,-2.2451148
East Mallling United,52.3209345,1.5979437
Near Ouagadougou Upper,53.5415797,-2.1147831
Near Enisseysk USSRAeroflot,51.27452185,0.1961165562194977
Leningrad USSRAeroflot,52.622174,-0.1068177
Krasnovodsk USSRAeroflot,53.7124015,-0.3652257
Near Lidköping Västergötland,7.8102647,34.1822172
Near Maturin Venezuela,29.2108147,-81.0228331
Near La Cucharita Venezuela,25.7741728,-80.19362
Puerto Inirida Venezuela,49.4404591,1.0939658
Near Maracay Venezuela,43.6044622,1.4442469
Near San Andres Tuxtla Vera,48.8395577,1.1652725
Near Pownal Vermont,45.7578137,4.8320114
Near Lovettsville Virginia,43.4902317,2.3764363
Near Pegnitz West,33.5801103,-85.0766113
Near Khewra West,43.0033629,41.0192741
Near Edelweiler West,50.6880109,7.6477412
Near Jackson Hole Wyoming,52.3744779,9.7385532
Near Glendo Wyoming,52.1615728,10.894836437577046
Belgrade Yugosalvia,49.4432174,7.7689951
Near Kisangani Zaire,54.3227085,10.135555
Near Shemshernagar,49.0641578,8.9753958
Near Marseille Airlines,37.7121132,21.5772209
Near Fairbanks Alaska,36.17252975,27.91940163839584
Off Whittier Alaska,35.214743,25.71206331915061
Near Old Harbors Alaska,37.72461615,26.81929189110984
Off Algiers Algeria,60.734,-48.174
Near Cuito Angola,13.4738606,144.7520556570941
Cahungula Angola,19.7595236,-72.2008068
Near Phoenix Arizona,-27.482790373678643,-59.00491096479701
Near Murchinson River Australia,19.6472213,-155.9966428
Near Vienna Austria,14.6672029,-86.2195829
Near Nakhichevan Azerbaijan,15.1648913,-84.6202279
Off Smyrna Bahamas,22.3231377,114.21412352083236
Near Ruysselede Belgium,47.48138955,19.14609412691246
Near Sumacal Beni,47.531399,21.6259782
Off Bermuda-Kindley Field Bermuda,64.145981,-21.9422367
Near San Jose de Chiquitos Bolivia,41.5058344,-90.5136642
Tripuani Bolivia,11.2450558,75.7754716
Near Guayaramerin Bolivia,24.7991162,93.9364419
La Veriente Bolivia,31.7621021,74.8295989
Near Cachimbo Brazil,26.4073841,93.2551303
Near Brasilia Brazil,28.6273928,77.1716954
Taquaracucu Brazil,24.830302,92.7875689
Near Manaus Brazil,18.9910971,73.12058456241039
Off Vila dos Remidos Brazil,-4.6731208,140.5768076
Near Chilliwack British,-3.7009102,137.9649142
Near Sofia Bugaria,-3.51583585,134.3165746374882
Near San Francisco California,-4.3641086,139.3012904
Near Douala Cameroon,-6.1754049,106.827168
Near Lanzhou China,41.6997139,-93.0538852
Near Hoikow China,43.1524574,-93.2017941
Near Lanchow China,35.4719308,44.3953896
Kiangwan China,45.4424977,10.985737689444765
Near Shanghai China,38.01165325,12.981390798470088
Near Steamboat Springs Coloado,44.8476352,9.666531257696896
Near Rio Hacha Colombia,45.4641943,9.1896346
Near Medellin Colombia,26.5707754,128.0255901
Off Cartagena Colombia,33.1024935,139.8076939278656
Near Covenas Colombia,34.27094515,133.67685879642858
Cascubel River Colombia,35.6768601,139.7638947
Near Bogata Colombia,51.1818659,0.983818319068168
Cerro Toledo Mountain Colombia,38.0464066,-84.4970393
Near Nederland Colorado,42.8777895,74.6066926
Near Pueblo Colorado,15.11540535,105.82715655483376
Near Rio de Janeiro Condor,19.1118998,102.91819914105692
Near Uvira Congo,33.88922645,35.50255852895232
Punta Islita Costa,32.1200168,20.0812174
Near Turrialba Costa,29.5957696,-90.7195348
Kasperske Hory Czechoslovakia,44.0979903,-70.2312137
Binh Tahi Da,44.3169922,-69.7734278
Geti Democratic,35.848712,14.4961353
Near Luxor Egypt,53.6901697,-95.7979702
Off Alexandria Egypt,50.6323125,-96.9881076
Near Cairo Egypt,14.6027962,-61.0676724
Near Nasaso Fiji,38.980666,-76.9369189
Off Miami Beach Florida,41.6634101,-70.27554485477228
Near Rochefort  France,41.2727997,-70.0951867
Ruig Piner France,20.9127045,-17.0503094
Near Grenoble France,22.5000001,-100.4949145
Off Dakar French,25.6046501,-107.5991106
Near Pilos Greece,24.4130625,120.7704023
Near Keratea Greece,42.2222614,-83.3965995
Off Oahu Hawaii,52.2634462,4.5001854
Near Puerto Inca Huanuco,44.0500054,-91.6392294
Korangi Creek India,31.0254635,-89.0367166
Katagiri India,37.70114,-92.16933029454007
Near Nellore India,39.315559,-94.2938356
Near Palembang Indonesia,38.6280278,-90.1910154
Near Matak Indonesia,39.8870003,-94.892021
Near Tanjung Pinanga Indonesia,47.5048851,-111.29189
Near Isfanan Iran,30.4205162,-9.5838532
Near Chamaran Iran,35.2102654,-5.2509391
Near Shannon Ireland,33.7181493,-5.0144634
Verona  - Villafranca Italy,21.43609475,93.35805266634624
Mt. Giner Italy,44.5464046,15.375421
Mt. Argentari Italy,18.9897368,-97.4484353
Brindisi Harbor Italy,50.9442695,6.92826207388905
Near Osaka Japan,43.8556466,-87.08186857121814
Near Wusong Jiangsu,36.0159677,138.6876021
Near Shymkent Kazakhstan,71.07446732571378,-157.0904111895461
Near Goose Bay Labrador,40.0608352,-95.6019294
Near Luang Prabang Laos,42.9636101,-99.0967626
Near Luang Pragang Laos,28.209538,83.991402
Muong Soui Laos,28.4024938,83.6999277
Near Al Bayda Lebanon,28.5903825,81.6416124
Near Ciudad Victoria Mexico,27.1604122,84.9765794
Near Iturbide Mexico,27.708317,85.3205817
Near Billings Montana,51.54499055,3.689988466423378
Near Tetouan Morocco,36.2533896,-115.2794366262601
Eugene IslandAir Taxi - Petroleum Helicopters Inc.,39.9545613,-74.3784815
Java SeaAirAsia,40.9117907,-72.77097093700559
AfghanistanMilitary - Afghan Republican Air Force,-5.5226203,142.08711943819077
Atlantic OceanTrans-Canada Air Lines,35.1439219,-103.4183431
Over the Pacific OceanUnited Air Lines,35.1719425,-103.72504
Pacific OceanPhilippine Air Lines,42.4374175,-76.54837235139263
Off Turks and Caicos IslandsAlantis Aviation,40.014561,-74.3112574
Off AlgiersAeropostale,34.405472,-103.2050709
Milford SoundAir Fiordland,40.072587,-74.88700755838619
Pacific OceanMerpati Nasantara Airlines,12.1544035,-86.2737642
Off the Florida coastMilitary - U.S. Navy,5.783333,6.866667
South of GibraltarIberia Airlines,60.0679248,6.5469316
Off Malta-LuqaBritish Airways,78.2231558,15.6463656
English ChannelMilitary - U.S. Army Air Forces,58.88208225,5.356254245388384
Over the Mediterranean SeaMilitary - French Navy,74.67911995,-94.842250991689
Straits of Johore near,40.7985464,-81.3749508
Mt. San Pietro near,17.0174945,54.1010923
Near Bhojpur Nepal,44.0307442,-123.5853932
Near Simara Nepal,26.2452915,68.4040229
Palunge Hill Nepal,24.9216143,67.1546212
Near Dhangadhi Nepal,35.9208102,74.314044
Off St. Maarten off Netherlands,29.394644,71.6638747
Near Henderson Nevada,8.9714493,-79.5341802
Near Little Valley New,-9.4743301,147.1599504
Nnear Albuquerque New,-7.3403142,146.7172732
Near San Andres de Bocay Nicaragua,-25.2800459,-57.6343814
Near Port Harcourt Nigeria,26.2375213,50.5917446
Tuktoyaktuk NWT,-8.3820737,-74.5387507
Atlantic Ocean off,-3.749365,-73.2444145
Off Kuba Island Okinawa,-13.51695415,-71.97927120704406
Near Havlien Pakistan,18.1215622,-65.45746403129988
Comilla Pakistan,18.2129421,-66.05588435626197
Near Rawalpindi Pakistan,46.58025965,-71.61801295103928
Gohu Airstrip Papua,44.4361414,26.1027202
Bagasin Papua,44.95368,26.0271744
Yaramunda Papua,47.1327012,24.4963949
Near Wamena Papua,46.769379,23.5899542
Near Milford Pennsylvania,45.7973912,24.1519202
Willamsport Pennsylvania,47.156943,27.4861112
Near Puerto Esperanza Peru,51.68000805,39.18372495551433
Near Jaen Peru,62.5127643,155.7823514
Near Trujillo Peru,56.6851526,53.2818271
Carpich Huanuco Mt. Peru,67.4566185,86.5308425
Near Baguio Philippines,50.111154,129.4402341
Mt. Banahaur Philippines,56.4609007,138.1817339
Near Kaliba Philippines,51.131943,93.715744
Near Bayombang Philippines,54.443378,113.590469
Near Naga Philippines,53.08221481458361,136.84591372336286
Near Iligan Philippines,55.625578,37.6063916
Wroctaw Poland,53.42568665,59.050732193093054
Off Madeira Portugal,43.5854823,39.723109
Off San Juan Puerto,52.2891225,104.279829
Jeannine Lake Quebec,58.608414,125.388222
Near Visina Romania,49.7219665,143.448533
Near Constanta Romania,55.8680319,158.8025311585243
Near Khantanga Russia,54.1930321,37.61754
Near Moscow Russia,47.2610441,39.72490856518773
Near Dudinka Russia,52.033409,113.500893
Off Makhachkala  Russia,52.654755,42.72496
Near Novaya Inya  Russia,59.9606739,30.1586551
Near Birobidzhan Russia,48.7081906,44.5153353
Nnear Yuzhno-Sakhalinsk Russia,57.0088004,40.96306331898382
Near Ulyanovsk Russia,53.7403584,127.2716246
Near Chebotovka Russia,21.02865621986344,-101.7064238746008
Near Mineral Waters Russia,23.333333,45.333333
Khabarovsk Territory Russia,55.4628044,-4.6302502
Near Namtso Russia,55.577451,-5.252160942061316
Near Adar Russia,55.503242,-4.620250393209877
Near Kranoyarsk Russia,58.248257,-3.4275945
Near Grossevichi Russia,2.0349312,45.3419183
Near Tashkent Russia,-6.2305673,39.343594
Near Kishwati Rwanda,4.874220599999999,31.5771953734545
Near Fond-du-Lac Saskatchewan,-26.202258,28.045324188288102
Near Jeddah Saudi,-54.8432857,-35.8090698
Off Montrose Scotland,44.0806041,-103.228023
Off Cinisi Sicily,-25.7348334,28.191089580403933
Near Moc Hoa South,36.7213028,-4.4216366
Near Siagon South,41.3828939,2.1774322
Near Ladysmith South,40.143961,-2.6912644
Near Tuy Hoa South,9.2617815,125.9637534
Eshowe South,43.3709703,-8.3959425
Near Madrid Spain,10.6326436,30.3793795
Near Guaderrama Spain,12.6457036,32.2338812
Guadarrama Mountains Spain,9.5200246,31.65972249667214
Near Maskeliya Sri,21.8005,31.350737
Tikaka Sudan,55.6052931,13.0001566
Catherham Surrey,46.8332439,9.2834557
Rutbah Wells Syria,26.369055000000003,120.4884645798659
Dah-el-Kadeeb Syria,23.9913421,121.6197276
Off Pachao Tao Taiwan,25.0375198,121.5636796
Chinmen Island Taiwan,-2.5196915,32.9014417
Off Sabine Pass Texas,35.1460249,-90.0517638
Near Dallas Texas,-23.6475414,-46.5101132
Near Surat Thani Thailand,32.89651945,-97.0465220537124
Near Bangkok Thailand,32.728803,-94.9445572
Near Zonguldak Turkey,9.50139445,99.99561927320003
Near Van Turkey,48.1152056,36.9794555
Great Hallingbury United,50.4500336,30.5241361
Tarko-Saley USSRAeroflot,48.0158753,37.8013407
Kiev USSRAeroflot,25.0726364,55.1243894
Near Kostroma USSRAeroflot,25.3122223,55.4235841
Moscow USSRAeroflot,11.17175555516686,-4.2678268446615775
Near Karacharovo USSRAeroflot,38.3737755,-110.706401
